"PROVINCIA";"TIPOLOXÍA";"NOME";"ENDEREZO";"LOCALIDADE";"CONCELLO";"CÓDIGO POSTAL";"TELÉFONO";"FAX";"COORDENADAS";"PORTAL WEB";"ENDEREZO WEB 2";"CORREO ELECTRÓNICO";"NIDEN";"ACCESO AO CATÁLOGO";"INFORMACIÓN ADICIONAL";"TITULARIDADE";"INSTITUCIÓN TTULAR";"ORGANISMO XESTOR";"ACCESO";"ESTADO";"SITUACIÓN ADMINISTRATIVA NA RBG"
"A Coruña";"Axencia de Lectura";"Axencia de Lectura Municipal de Mabegondo";"Pabellón de San Marcos, s/n";"Abegondo";"Abegondo";"15318";"981647921";"981673050";"43.2286307,-8.286946";"";"";"aulaludica@abegondo.es";"1500015-377";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Abegondo";"Concello de Abegondo";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal de Abegondo";"San Marcos, 1";"Abegondo";"Abegondo";"15318";"981669266";"981673050";"43.2262,-8.28946";"";"";"biblioteca@abegondo.es";"1500015-171";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Abegondo";"Concello de Abegondo";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Axencia de Lectura";"Axencia de Lectura da Aula da Natureza de Crendes";"Rúa Villar, 86";"Crendes";"Abegondo";"15318";"981647916";"981673050";"43.271831,-8.278799";"";"";"aula.natureza@abegondo.es";"1500015-172";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Abegondo";"Concello de Abegondo";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal de Ames-Bertamiráns";"Praza de Chavián, s/n";"Bertamiráns";"Ames";"15220";"981884829";"";"42.8589,-8.65737";"";"";"biblioteca@concellodeames.gal/bertamirans.ames.rbgalicia@eidolocal.es";"1502467-173";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello de Ames";"Concello de Ames";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal de Ames-O Milladoiro";"Rúa Raxoeira, 14 - Baixo";"Milladoiro, O";"Ames";"15895";"981530807";"";"42.8475442,-8.576290";"";"";"biblioteca@concellodeames.gal/milladoiro.ames.rbgalicia@eidolocal.es";"1502467-174";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello de Ames";"Concello de Ames";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Axencia de Lectura";"Axencia de Lectura Municipal de Pontearanga";"Pontearanga";"Aranga";"Aranga";"15317";"981793590/981793551";"981793581";"43.234429,-8.015779";"";"";"cultura@aranga.dicoruna.es";"1502408-262";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Aranga";"Concello de Aranga";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Axencia de Lectura";"Axencia de Lectura Municipal de Toxiño";"Toxiño";"Cambás";"Aranga";"15317";"981793590";"981793581";"43.2333,-8.01667";"";"";"cultura@aranga.gal/aranga.rbgalicia@eidolocal.es/maria.gonzalez@aranga.es";"1502408-290";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Aranga";"Concello de Aranga";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal de Ares";"Rúa María, 11";"Ares";"Ares";"15624";"981448057";"981448057";"43.4291,-8.24366";"";"";"biblioares@gmail.com/ares.rbgalicia@eidolocal.es";"1500514-352";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Ares";"Concello de Ares";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Central Henrique Rabuñal";"Centro Cívico-Cultural. Paseo Fluvial s/n";"Arteixo";"Arteixo";"15142";"981659108/981659100/981659106";"981641871";"43.303554,-8.507495";"http://www.arteixo.org/gl/servizos/biblioteca";"";"biblioteca.central@arteixo.org/arteixo.rbgalicia@eidolocal.es/joseluis.alonso@arteixo.dicoruna.es";"1500784-112";"http://biblioteca.arteixo.org/";"";"Pública";"Concello de Arteixo";"Concello de Arteixo";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Axencia de Lectura";"Biblioteca de O Froxel Francisco A. Vidal";"Centro Cívico do Froxel. Rúa José Pérez Ballesteros";"Froxel, O (Oseiro)";"Arteixo";"15141";"981601574";"981641871";"43.3194,-8.48658";"http://www.arteixo.org/gl/servizos/biblioteca";"";"froxel.arteixo.rbgalicia@eidolocal.es/juan.garcia@arteixo.dicoruna.es";"1500784-370";"http://biblioteca.arteixo.org/";"";"Pública";"Concello de Arteixo";"Concello de Arteixo";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca de Meicende Antón Castro ";"Centro Sociocultural. Travesía de Meicende, 132 ";"Meicende";"Arteixo";"15140";"981274027";"";"43.3448,-8.44860";"http://www.arteixo.org/gl/servizos/biblioteca";"";"biblioteca@arteixo.org";"1500784-263";"http://biblioteca.arteixo.org/";"";"Pública";"Concello de Arteixo";"Concello de Arteixo";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Axencia de Lectura";"Biblioteca de Oseiro Dora Vázquez ";"Praza de Manuel Murguía, s/n";"Oseiro";"Arteixo";"15141";"981601945";"";"43.3032,-8.51704";"http://www.arteixo.org/gl/servizos/biblioteca";"";"eusebio.alvarez@arteixo.org/oseiro.arteixo.rbgalicia@eidolocal.es";"1500784-354";"http://biblioteca.arteixo.org/";"";"Pública";"Concello de Arteixo";"Concello de Arteixo";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Axencia de Lectura";"Biblioteca de Pastoriza Miguel Sande ";"Barrionuevo, 20";"Pastoriza";"Arteixo";"15140";"981641879";"";"43.3326136,-8.4643535";"http://www.arteixo.org/gl/servizos/biblioteca";"";"biblioteca@arteixo.org/david.vizoso@arteixo.org";"1500784-385";"http://biblioteca.arteixo.org/";"";"Pública";"Concello de Arteixo";"Concello de Arteixo";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal Rosalía de Castro";"Padre Pardo-Edif. Mª Mariño, 2º andar";"Arzúa";"Arzúa";"15810";"981500207";"981500914";"42.92762,-8.1599298";"";"";"biblioteca@concellodearzua.com/arzua.rbgalicia@eidolocal.es";"1500020-175";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Arzúa";"Concello de Arzúa";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Axencia de Lectura";"Axencia de Lectura Municipal da Baña";"Rúa das Dores";"Baña, A";"Baña, A";"15863";"981886501/607721711";"981886616";"42.9673,-8.75966";"";"";"alicia.blanco@abana.dicoruna.es/correo@abana.dicoruna.es/abana.rbgalicia@eidolocal.es";"1500036-176";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de A Baña";"Concello de A Baña";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Axencia de Lectura";"Axencia de Lectura Municipal de Bergondo";"Cruz do Sar, s/n (Edif. Caixa Galicia, baixo)";"Bergondo";"Bergondo";"15165";"981794460";"981795233";"43.3192,-8.22953";"";"";"bergondo.rbgalicia@eidolocal.es";"1501761-291";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Bergondo";"Concello de Bergondo";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal A. Castelao";"Rúa Emilio Romay, 1";"Betanzos";"Betanzos";"15300";"981771946";"981771946";"43.2786,-8.21";"";"";"biblioteca@betanzos.dicoruna.es/betanzos.rbgalicia@eidolocal.es";"1500073-121";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Betanzos";"Concello de Betanzos";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal de Boimorto";"Praza Campo da Feira, 2";"Boimorto";"Boimorto";"15817";"9.81516520982E+17";"981516045";"43.003313,-8.130333";"";"";"cultura@boimorto.es";"1500540-1941";"";"";"Pública";"Concello de Boimorto";"Concello de Boimorto";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Axencia de Lectura";"Axencia de Lectura Municipal de Cabo da Cruz";"Rúa Pesqueira, 106 - Baixo (Cabo da Cruz)";"Boiro";"Boiro";"15939";"981847859";"981847001";"42.6134093,-8.8866680";"";"";"cabodecruz.boiro.rbgalicia@eidolocal.es";"1500591-1942";"";"";"Pública";"Concello de Boiro";"Asociación de Veciños A Unión de Santa María do Castro  Boiro";"Público";"Pechada temporalmente";"Rexistrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal de Boiro";"Avenida da Constitución, 30";"Boiro";"Boiro";"15930";"981848410";"981848471";"42.645924,-8.883433";"";"";"boiro.rbgalicia@eidolocal.es/anxo.campos@boiro.dicoruna.es";"1500591-177";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello de Boiro";"Concello de Boiro";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Axencia de Lectura";"Axencia de Lectura Municipal de Escarabote";"Rúa do Porto, s/n - Escarabote";"Escarabote";"Boiro";"15930";"981849950";"981849950";"42.6345,-8.90652";"";"";"escarabote.boiro.rbgalicia@eidolocal.es";"1500591-358";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello de Boiro";"Concello de Boiro";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal de Boqueixón (Forte)";"Rúa Forte, s/n";"Boqueixón";"Boqueixón";"15881";"981513115";"981513000";"42.8234,-8.41709";"";"";"ana.diaz@boqueixon.es/boqueixon.rbgalicia@eidolocal.es";"1500092-126";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Boqueixón";"Concello de Boqueixón";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal de Brión";"Carballeira de Sta. Minia,  2";"Pedrouzos";"Brión";"15865";"981509969";"981509969";"42.866135,-8.677526";"http://bibliotecadebrion.blogspot.com.es/";"";"bibliotecadebrion@gmail.com/brion.rbgalicia@eidolocal.es/bibliotecadebrion@briondixital.org";"1500106-145";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello de Brión";"Concello de Brión";"Público";"Aberta";"Rexistrada e integrada"
