name,lon,lat,code
BPM de Abegondo,-8.28946,43.2262,branch:CBM001
BPM de Ames-Bertamiráns,-8.65737,42.8589,branch:CBM004
BPM de Ames-O Milladoiro,-8.576290,42.8475442,branch:CBM003
BPM de Ares,-8.24366,43.4291,branch:CBM005
BPM Rosalía de Castro,-8.1599298,42.92762,branch:CBM007
ALM da Baña,-8.75966,42.9673,branch:CAM005
ALM de Bergondo,-8.22953,43.3192,branch:CBM008
BPM A. Castelao,-8.21,43.2786,branch:CBM009
ALM de Escarabote,-8.90652,42.6345,branch:CAM006
BPM de Boiro,-8.883433,42.645924,branch:CBM011
BPM de Boqueixón (Forte),-8.41709,42.8234,branch:CBM013
BPM de Brión,-8.677526,42.866135,branch:CBM015
BPM María Baña,-8.91146,43.2264,branch:CBM016
BPM de  Camariñas,-9.18058,43.1302,branch:CBM017
BPM Xabier P. Docampo,-8.354529,43.3056496,branch:CBM018
BPM Os Templarios,-8.3589105,43.3140572,branch:CBM020
B. Municipal Central de Cambre,-8.344081,43.2913129,branch:CBM019
BPM da Capela,-8.0671360,43.4359544,branch:CAM010
BPM de Carballo,-8.6901389,43.2112027,branch:CBM021
BPM Rego da Balsa,-8.6933910,43.2149368,branch:CBM114
BPM de Cariño,-7.8726,43.7373,branch:CBM022
ALM de Carnota,-9.0876,42.8215,branch:CAM011
BPM de Carral,-8.36032,43.2287,branch:CBM023
BPM López Cortón,-8.05782,43.6598,branch:CBM027
BPM Franciso Mayán,-9.1912231,42.953045,branch:CBM025
BPM da Silva,-8.56787,43.1553,branch:CBM026
BPM de Cerceda,-8.47257,43.1903,branch:CBM024
ALM de Coirós,-8.166631,43.251133,branch:CAM015
BPM de Corcubión,-9.19433,42.9457,branch:CBM029
BPM de Coristanco,-8.7376,43.1872,branch:CBM031
BP da Coruña Miguel González Garcés,-8.4054987,43.347239,branch:BC
BPM Miguel González Garcés,-8.371217,43.318387,branch:CBM040
ALM Xosé Caderso Liñares,-8.3824700,43.3113230,branch:CAM017
BPM de Teixeiro,-8.03967,43.1425,branch:CBM041
BPM de Dodro,-8.70348,42.7159,branch:CBM042
ALM de Lucín-Olveira,-9.03024,42.9883,branch:CAM019
ALM de Dumbría,-9.111697,43.0346108,branch:CAM020
BPM de Ézaro,-9.130368,42.910187,branch:CBM043
ALM de Buxantes,-9.11778,42.9738,branch:CAM070
ALM de Berdeogas,-9.10635,43.0302,branch:CAM018
BP  Municipal  Xosé María Pérez Parallé,-8.16619,43.4819,branch:CBM044
BP de Ferrol (Caranza),-8.20489,43.4828,branch:BF2
BP de Ferrol (Inferniño),-8.22256,43.4897,branch:BF3
BP de Ferrol,-8.2272009,43.4860493,branch:BF1
ALM de Frades,-8.2928218,43.0353273,branch:FRA
BPM de A Laracha,-8.5831981,43.2469698,branch:CBM051
ALM de Caión,-8.60592,43.3202,branch:CAM080
ALM de Paiosaco,-8.5622478,43.2597896,branch:CAM022
BPM Antón Zapata García,-9.0048,43.2173,branch:LAXE1
ALM da Torre,-9.00738,43.1869,branch:LAXE3
BPM Eduardo Blanco Amor,-8.8171,43.3214,branch:CBM054
BPM Xosé Vázquez Pintor,-8.01431,42.9166,branch:CBM056
ALM Victoria Armesto,-8.2723859,43.1135289,branch:CAM026
B. Concepción Arenal de Miño,-8.20763,43.3484,branch:CBM057
BPM de Moeche,-8.015028,43.5628128,branch:MOE
BPM de Mugardos,-8.255224,43.4601981,branch:CBM059
ALM de Esteiro,-8.9806352,42.788222,branch:ESTEI
BPM de Muros,-9.06247,42.7771,branch:CBM061
BPM D. Santiago Rey Fernández-Latorre,-9.217101,43.1077188,branch:CBM062
BPM de Narón,-8.19062,43.5004,branch:CBM063
ALM da Gándara,-8.196706,43.4939727,branch:CAM030
BPM de Neda,-8.15804,43.5003,branch:CBM064
BPM de Negreira,-8.73888,42.9075,branch:CBM065
BPM de Noia,-8.88636,42.7838,branch:CBM066
BPM María José Ruso,-8.319126,43.358176,branch:OLE4
BPM Ánxel Fole de Nós,-8.342716,43.31723,branch:OLE6
BPM María José Trincado,-8.333688,43.377875,branch:OLE9
B. Central Rialeda,-8.374630,43.331775,branch:OLE1
BPM Xograr Mendiño,-8.310723,43.389444,branch:OLE7
BPM Rosalía de Castro,-8.343631,43.346926,branch:OLE2
BPM Manuel María,-8.318729,43.333218,branch:OLE3
BPM de Ordes,-8.407414,43.0768907,branch:CBM075
BPM de Oroso,-8.44096,42.9685,branch:CBM076
BPM Juan Fernández Latorre,-7.85243,43.6871,branch:ORT1
BPM de Outes,-8.9078515,42.843076,branch:CBM078
BPM de Padrón,-8.66057,42.7363,branch:CBM079
BPM do Pino,-8.337785,42.9368466,branch:CBM080
BPM Victoriano García Martí,-8.93744,42.6033,branch:CBM081
BPM de Ponteceso,-8.8915609,43.2459956,branch:CBM083
